YEAR,MO,DY,HR,IRRADIATION
2020,1,31,14,131.94
2020,1,31,15,105.2
2020,1,31,16,34.22
2020,1,31,17,7.05
2020,1,31,18,0.0
2020,1,31,19,0.0
2020,1,31,20,0.0
2020,1,31,21,0.0
2020,1,31,22,0.0
2020,1,31,23,0.0
2020,2,1,0,0.0
2020,2,1,1,0.0
2020,2,1,2,0.0
2020,2,1,3,0.0
2020,2,1,4,0.0
2020,2,1,5,0.0
2020,2,1,6,0.0
2020,2,1,7,0.0
2020,2,1,8,50.34
2020,2,1,9,144.62
2020,2,1,10,211.55
2020,2,1,11,291.02
2020,2,1,12,289.9
2020,2,1,13,307.6
2020,2,1,14,235.34
2020,2,1,15,169.93
2020,2,1,16,82.05
2020,2,1,17,7.92
2020,2,1,18,0.0
2020,2,1,19,0.0
2020,2,1,20,0.0
2020,2,1,21,0.0
2020,2,1,22,0.0
2020,2,1,23,0.0
2020,2,2,0,0.0
2020,2,2,1,0.0
2020,2,2,2,0.0
2020,2,2,3,0.0
2020,2,2,4,0.0
2020,2,2,5,0.0
2020,2,2,6,0.0
2020,2,2,7,0.0
2020,2,2,8,63.04
2020,2,2,9,124.2
2020,2,2,10,150.84
2020,2,2,11,232.16
2020,2,2,12,304.08
2020,2,2,13,330.12
2020,2,2,14,317.74
2020,2,2,15,239.8
2020,2,2,16,114.73
2020,2,2,17,8.95
2020,2,2,18,0.0
2020,2,2,19,0.0
2020,2,2,20,0.0
2020,2,2,21,0.0
2020,2,2,22,0.0
2020,2,2,23,0.0
2020,2,3,0,0.0
2020,2,3,1,0.0
2020,2,3,2,0.0
2020,2,3,3,0.0
2020,2,3,4,0.0
2020,2,3,5,0.0
2020,2,3,6,0.0
2020,2,3,7,0.0
2020,2,3,8,39.6
2020,2,3,9,102.36
2020,2,3,10,161.16
2020,2,3,11,235.29
2020,2,3,12,244.8
2020,2,3,13,230.55
2020,2,3,14,170.69
2020,2,3,15,96.17
2020,2,3,16,39.46
2020,2,3,17,6.34
2020,2,3,18,0.0
2020,2,3,19,0.0
2020,2,3,20,0.0
2020,2,3,21,0.0
2020,2,3,22,0.0
2020,2,3,23,0.0
2020,2,4,0,0.0
2020,2,4,1,0.0
2020,2,4,2,0.0
2020,2,4,3,0.0
2020,2,4,4,0.0
2020,2,4,5,0.0
2020,2,4,6,0.0
2020,2,4,7,0.0
2020,2,4,8,47.52
2020,2,4,9,102.24
2020,2,4,10,147.7
2020,2,4,11,154.73
2020,2,4,12,166.24
2020,2,4,13,99.84
2020,2,4,14,81.66
2020,2,4,15,71.42
2020,2,4,16,42.61
2020,2,4,17,6.8
2020,2,4,18,0.0
2020,2,4,19,0.0
2020,2,4,20,0.0
2020,2,4,21,0.0
2020,2,4,22,0.0
2020,2,4,23,0.0
2020,2,5,0,0.0
2020,2,5,1,0.0
2020,2,5,2,0.0
2020,2,5,3,0.0
2020,2,5,4,0.0
2020,2,5,5,0.0
2020,2,5,6,0.0
2020,2,5,7,0.0
2020,2,5,8,37.25
2020,2,5,9,82.2
2020,2,5,10,97.26
2020,2,5,11,107.39
2020,2,5,12,114.6
2020,2,5,13,96.08
2020,2,5,14,88.49
2020,2,5,15,57.05
2020,2,5,16,22.92
2020,2,5,17,6.33
2020,2,5,18,0.0
2020,2,5,19,0.0
2020,2,5,20,0.0
2020,2,5,21,0.0
2020,2,5,22,0.0
2020,2,5,23,0.0
2020,2,6,0,0.0
2020,2,6,1,0.0
2020,2,6,2,0.0
2020,2,6,3,0.0
2020,2,6,4,0.0
2020,2,6,5,0.0
2020,2,6,6,0.0
2020,2,6,7,0.0
2020,2,6,8,41.1
2020,2,6,9,137.2
2020,2,6,10,212.01
2020,2,6,11,275.18
2020,2,6,12,291.55
2020,2,6,13,298.59
2020,2,6,14,267.08
2020,2,6,15,236.64
2020,2,6,16,118.48
2020,2,6,17,11.45
2020,2,6,18,0.0
2020,2,6,19,0.0
2020,2,6,20,0.0
